 XGSE    YGSE   ZGSE    R    BXGSE   BYGSE   BZGSE   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
   0.292   0.065   0.954   1.000   -31560.23    -3174.19   -35771.41    47809.17
   0.298   0.066   0.962   1.009   -31002.50    -3108.76   -34518.48    46501.02
   0.305   0.067   0.969   1.018   -30453.76    -3045.48   -33311.80    45236.96
   0.312   0.067   0.976   1.027   -29914.09    -2984.25   -32149.48    44015.31
   0.319   0.068   0.984   1.036   -29383.51    -2924.97   -31029.70    42834.43
   0.326   0.069   0.991   1.045   -28862.03    -2867.54   -29950.70    41692.73
   0.333   0.069   0.998   1.054   -28349.71    -2811.89   -28910.88    40588.82
   0.340   0.070   1.005   1.063   -27846.49    -2757.93   -27908.66    39521.22
   0.347   0.071   1.012   1.072   -27352.38    -2705.58   -26942.56    38488.63
   0.354   0.071   1.019   1.081   -26867.28    -2654.78   -26011.09    37489.67
   0.361   0.072   1.026   1.090   -26391.13    -2605.46   -25112.89    36523.11
   0.368   0.073   1.033   1.099   -25923.87    -2557.55   -24246.64    35587.75
   0.376   0.074   1.040   1.108   -25465.42    -2510.99   -23411.08    34682.44
   0.383   0.074   1.046   1.117   -25015.61    -2465.73   -22604.97    33806.00
   0.390   0.075   1.053   1.126   -24574.42    -2421.70   -21827.18    32957.44
   0.398   0.076   1.060   1.134   -24141.71    -2378.87   -21076.60    32135.72
   0.405   0.076   1.066   1.143   -23717.33    -2337.18   -20352.12    31339.79
   0.413   0.077   1.073   1.152   -23301.17    -2296.59   -19652.77    30568.78
   0.421   0.078   1.079   1.161   -22893.14    -2257.06   -18977.56    29821.77
   0.428   0.079   1.085   1.169   -22493.05    -2218.53   -18325.54    29097.85
   0.436   0.080   1.092   1.178   -22100.83    -2180.99   -17695.85    28396.24
   0.444   0.080   1.098   1.187   -21716.28    -2144.38   -17087.59    27716.08
   0.452   0.081   1.104   1.196   -21339.31    -2108.68   -16499.97    27056.64
   0.460   0.082   1.110   1.204   -20969.77    -2073.85   -15932.20    26417.17
   0.468   0.083   1.116   1.213   -20607.51    -2039.86   -15383.50    25796.95
   0.476   0.083   1.122   1.221   -20252.41    -2006.68   -14853.19    25195.32
   0.484   0.084   1.128   1.230   -19904.34    -1974.28   -14340.55    24611.62
   0.492   0.085   1.134   1.239   -19563.14    -1942.64   -13844.91    24045.21
   0.500   0.086   1.139   1.247   -19228.68    -1911.73   -13365.65    23495.48
   0.508   0.087   1.145   1.256   -18900.82    -1881.52   -12902.16    22961.86
   0.516   0.087   1.151   1.264   -18579.44    -1852.00   -12453.84    22443.79
   0.525   0.088   1.156   1.273   -18264.42    -1823.13   -12020.16    21940.76
   0.533   0.089   1.162   1.281   -17955.61    -1794.91   -11600.54    21452.23
   0.541   0.090   1.167   1.290   -17652.86    -1767.30   -11194.49    20977.69
   0.550   0.091   1.172   1.298   -17356.08    -1740.30   -10801.52    20516.70
   0.558   0.092   1.177   1.306   -17065.12    -1713.87   -10421.12    20068.77
   0.567   0.093   1.183   1.315   -16779.87    -1688.01   -10052.89    19633.49
   0.575   0.093   1.188   1.323   -16500.20    -1662.69    -9696.34    19210.42
   0.584   0.094   1.193   1.331   -16226.01    -1637.90    -9351.08    18799.17
   0.593   0.095   1.198   1.340   -15957.14    -1613.63    -9016.70    18399.32
   0.601   0.096   1.203   1.348   -15693.51    -1589.85    -8692.81    18010.52
   0.610   0.097   1.207   1.356   -15435.01    -1566.56    -8379.04    17632.42
   0.619   0.098   1.212   1.364   -15181.49    -1543.74    -8075.02    17264.61
   0.628   0.099   1.217   1.373   -14932.89    -1521.38    -7780.43    16906.83
   0.637   0.100   1.221   1.381   -14689.06    -1499.46    -7494.91    16558.70
   0.645   0.100   1.226   1.389   -14449.92    -1477.98    -7218.17    16219.95
   0.654   0.101   1.230   1.397   -14215.36    -1456.91    -6949.90    15890.26
   0.663   0.102   1.234   1.405   -13985.27    -1436.25    -6689.80    15569.33
   0.672   0.103   1.239   1.413   -13759.57    -1416.00    -6437.59    15256.91
   0.681   0.104   1.243   1.421   -13538.14    -1396.12    -6193.00    14952.71
   0.690   0.105   1.247   1.429   -13320.91    -1376.63    -5955.77    14656.50
   0.700   0.106   1.251   1.437   -13107.77    -1357.50    -5725.64    14368.00
   0.709   0.107   1.255   1.445   -12898.64    -1338.73    -5502.39    14086.99
   0.718   0.108   1.259   1.453   -12693.42    -1320.31    -5285.77    13813.24
   0.727   0.109   1.263   1.461   -12492.03    -1302.22    -5075.55    13546.51
   0.736   0.110   1.266   1.469   -12294.39    -1284.47    -4871.55    13286.61
   0.746   0.111   1.270   1.477   -12100.41    -1267.04    -4673.52    13033.31
   0.755   0.112   1.273   1.485   -11910.01    -1249.93    -4481.29    12786.43
   0.764   0.113   1.277   1.492   -11723.12    -1233.12    -4294.67    12545.77
   0.774   0.114   1.280   1.500   -11539.64    -1216.61    -4113.44    12311.13
   0.783   0.115   1.284   1.508   -11359.52    -1200.39    -3937.47    12082.36
   0.792   0.116   1.287   1.516   -11182.68    -1184.45    -3766.56    11859.26
   0.802   0.117   1.290   1.523   -11009.03    -1168.80    -3600.54    11641.69
   0.811   0.118   1.293   1.531   -10838.52    -1153.41    -3439.27    11429.45
   0.821   0.119   1.296   1.539   -10671.07    -1138.29    -3282.58    11222.42
   0.830   0.120   1.299   1.546   -10506.62    -1123.43    -3130.34    11020.45
   0.840   0.121   1.302   1.554   -10345.10    -1108.82    -2982.38    10823.36
   0.849   0.122   1.304   1.561   -10186.45    -1094.46    -2838.59    10631.05
   0.859   0.123   1.307   1.569   -10030.60    -1080.34    -2698.82    10443.36
   0.869   0.124   1.310   1.576    -9877.49    -1066.45    -2562.95    10260.16
