 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
   0.292   0.166   0.942   1.000   -31560.23    -6964.87   -35230.10    47809.17
   0.298   0.168   0.949   1.009   -31002.50    -6766.41   -33991.26    46501.02
   0.305   0.169   0.957   1.018   -30453.76    -6575.01   -32798.18    45236.96
   0.312   0.171   0.964   1.027   -29914.09    -6390.37   -31648.98    44015.31
   0.319   0.172   0.971   1.036   -29383.51    -6212.20   -30541.88    42834.43
   0.326   0.174   0.978   1.045   -28862.03    -6040.21   -29475.13    41692.73
   0.333   0.175   0.985   1.054   -28349.71    -5874.16   -28447.15    40588.82
   0.340   0.177   0.992   1.063   -27846.50    -5713.80   -27456.37    39521.22
   0.347   0.178   0.999   1.072   -27352.38    -5558.89   -26501.33    38488.63
   0.354   0.179   1.006   1.081   -26867.28    -5409.20   -25580.56    37489.67
   0.361   0.181   1.013   1.090   -26391.13    -5264.52   -24692.73    36523.11
   0.368   0.182   1.019   1.099   -25923.87    -5124.64   -23836.50    35587.75
   0.376   0.184   1.026   1.108   -25465.42    -4989.38   -23010.65    34682.44
   0.383   0.185   1.033   1.117   -25015.62    -4858.55   -22213.94    33806.00
   0.390   0.187   1.039   1.126   -24574.42    -4731.96   -21445.26    32957.44
   0.398   0.188   1.046   1.134   -24141.71    -4609.46   -20703.50    32135.72
   0.405   0.190   1.052   1.143   -23717.33    -4490.87   -19987.58    31339.79
   0.413   0.191   1.058   1.152   -23301.18    -4376.05   -19296.53    30568.78
   0.421   0.192   1.065   1.161   -22893.14    -4264.84   -18629.36    29821.77
   0.428   0.194   1.071   1.169   -22493.05    -4157.12   -17985.15    29097.85
   0.436   0.195   1.077   1.178   -22100.83    -4052.74   -17363.04    28396.24
   0.444   0.197   1.083   1.187   -21716.28    -3951.57   -16762.13    27716.08
   0.452   0.198   1.089   1.196   -21339.32    -3853.51   -16181.66    27056.64
   0.460   0.200   1.095   1.204   -20969.77    -3758.42   -15620.82    26417.17
   0.468   0.201   1.101   1.213   -20607.51    -3666.20   -15078.86    25796.95
